Name	Pos	Age	HT	WT	College	Salary
DeAndre' Bembry95	SG	26	6' 5"	210 lbs	Saint Joseph's	$2,603,982
Charlie Brown Jr.4	SG	23	6' 6"	199 lbs	Saint Joseph's	--
Clint Capela15	C	26	6' 10"	240 lbs	--	$14,896,552
John Collins20	PF	23	6' 9"	235 lbs	Wake Forest	$2,686,560
Dewayne Dedmon14	C	31	7' 0"	245 lbs	USC	$13,333,333
Bruno Fernando24	C	22	6' 9"	240 lbs	Maryland	$1,400,000
Brandon Goodwin0	PG	25	6' 0"	180 lbs	Florida Gulf Coast	$522,738
Treveon Graham2	SG	26	6' 5"	219 lbs	Virginia Commonwealth	$1,645,357
Kevin Huerter3	SG	22	6' 7"	190 lbs	Maryland	$2,636,280
De'Andre Hunter12	SF	22	6' 7"	225 lbs	Virginia	$7,068,360
Damian Jones30	C	25	6' 11"	245 lbs	Vanderbilt	$2,305,057
Skal Labissiere7	PF	24	6' 10"	235 lbs	Kentucky	$2,338,847
Cam Reddish22	SG	21	6' 8"	218 lbs	Duke	$4,245,720
Jeff Teague00	PG	32	6' 3"	195 lbs	Wake Forest	$19,000,000
Trae Young11	PG	22	6' 1"	180 lbs	Oklahoma	$6,273,000
